code,description,type,package_line_level,gross_charge,discounted_cash_price,de_identified_min_contracted_rate,de_identified_max_contracted_rate,derived_contracted_rate,1199_commercial_other,aetna_medicare_advantage_hmo,aetna_commercial_hmo_pos,aetna_commercial_ppo_open_access,aetna_commercial_other,empire_health_commercial_other,empire_health_commercial_ppo_open_access,bluecross_blueshield_commercial_other,beacon_health_commercial_other,carelon_health_commercial_other,cigna_commercial_ppo_open_access,cigna_commercial_other,cigna_commercial_hmo_pos,eh_facet_commercial_other,emblemhealth_commercial_ppo_open_access,emblemhealth_commercial_other,emblemhealth_commercial_hmo_pos,emblemhealth_medicaid_hmo,emblemhealth_medicare_advantage_hmo,empire_health_commercial_hmo_pos,empire_health_medicare_advantage_hmo,empire_health_medicaid_hmo,evernorth_commercial_other,fidelis_commercial_other,fidelis_medicare_advantage_hmo,fidelis_medicaid_hmo,ghi_commercial_other,healthfirst_commercial_other,healthfirst_medicare_advantage_hmo,healthfirst_medicaid_hmo,healthplus_hp_medicaid_hmo,healthplus_hp_commercial_other,healthplus_hp_medicare_advantage_hmo,humana_commercial_other,humana_commercial_hmo_pos,humana_commercial_ppo_open_access,meritain_health_commercial_other,molina_commercial_other,optum_commercial_other,oxford_commercial_other,oxford_commercial_hmo_pos,tricare_commercial_other,united_healthcare_commercial_other,united_healthcare_medicare_advantage_hmo,united_healthcare_commercial_hmo_pos,united_healthcare_medicaid_hmo,united_healthcare_commercial_ppo_open_access,veteran_family_commercial_other
10030,DRAINAGE OF FLUID COLLECTION IN SOFT TISSUE USING IMAGING GUIDANCE,Outpatient,Package,2212.17,2212.17,152.66,4101.0,1663.85,,,,,,4101.0,2316.5,,,,,,,,,1016.2,,,,,,,,,,732.87,,152.66,,,,,,,,,,,,,,,,,,,,
10035,"PLACEMENT OF SOFT TISSUE LOCATING DEVICE USING X-RAY, FIRST GROWTH",Outpatient,Line,2919.67,2919.67,98.09,5127.0,2981.35,2411.0,754.95,,3616.5,,2557.9,2155.5,,,,,,,,,,4514.56,,,,3756.0,,,,,,,98.09,,,,,,,,,4822.0,,,,,,5127.0,,,,,
10035,"PLACEMENT OF SOFT TISSUE LOCATING DEVICE USING X-RAY, FIRST GROWTH",Outpatient,Package,3697.05,3697.05,98.09,5127.0,2981.35,2411.0,754.95,,3616.5,,2557.9,2155.5,,,,,,,,,,4514.56,,,,3756.0,,,,,,,98.09,,,,,,,,,4822.0,,,,,,5127.0,,,,,
10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,Outpatient,Line,968.07,968.07,100.0,4101.0,910.29,2101.5,214.16,2153.0,2153.0,,4101.0,135.01,,,,478.86,,,,,496.3,1920.72,,,100.0,206.29,,,414.98,,376.82,,401.64,,,350.43,,206.29,,,206.29,,380.71,206.29,2529.0,,206.29,1204.17,,,393.96,,
10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,Outpatient,Package,968.07,968.07,100.0,4101.0,910.29,2101.5,214.16,2153.0,2153.0,,4101.0,135.01,,,,478.86,,,,,496.3,1920.72,,,100.0,206.29,,,414.98,,376.82,,401.64,,,350.43,,206.29,,,206.29,,380.71,206.29,2529.0,,206.29,1204.17,,,393.96,,
10061,COMPLICATED OR MULTIPLE DRAINAGE OF SKIN ABSCESS,Outpatient,Line,1457.1,1457.1,339.5,397.05,368.28,,,,,,,,,,,,,,,,,,,,,,,,397.05,,339.5,,,,,,,,,,,,,,,,,,,,,,
10061,COMPLICATED OR MULTIPLE DRAINAGE OF SKIN ABSCESS,Outpatient,Package,1457.1,1457.1,339.5,397.05,368.28,,,,,,,,,,,,,,,,,,,,,,,,397.05,,339.5,,,,,,,,,,,,,,,,,,,,,,
10080,SIMPLE DRAINAGE OF CYST OF TAILBONE,Outpatient,Line,1588.54,1588.54,100.0,2683.0,651.08,,,,,,,150.0,,,,,,,,,366.76,,,,100.0,,,,414.98,,379.56,,,,,,,,,,,,462.7,,2683.0,,,922.0,,,380.71,,
10080,SIMPLE DRAINAGE OF CYST OF TAILBONE,Outpatient,Package,3876.06,3876.06,100.0,2683.0,651.08,,,,,,,150.0,,,,,,,,,366.76,,,,100.0,,,,414.98,,379.56,,,,,,,,,,,,462.7,,2683.0,,,922.0,,,380.71,,
10081,COMPLICATED DRAINAGE OF CYST OF TAILBONE,Outpatient,Line,5716.5,5716.5,693.29,3756.0,2224.65,,,,,,,,,,,,,,,,,,,,3756.0,,,,,,693.29,,,,,,,,,,,,,,,,,,,,,,
10081,COMPLICATED DRAINAGE OF CYST OF TAILBONE,Outpatient,Package,6115.17,6115.17,693.29,3756.0,2224.65,,,,,,,,,,,,,,,,,,,,3756.0,,,,,,693.29,,,,,,,,,,,,,,,,,,,,,,
10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",Outpatient,Line,1727.16,1727.16,366.76,4782.0,1636.28,,,2153.0,,,4241.0,818.5,,,,500.51,,,,,366.76,1752.0,,,,,,,414.98,,380.71,,,,,,,,,,,,,,4782.0,,,3448.13,397.05,,380.71,,
10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",Outpatient,Package,1727.16,1727.16,366.76,4782.0,1636.28,,,2153.0,,,4241.0,818.5,,,,500.51,,,,,366.76,1752.0,,,,,,,414.98,,380.71,,,,,,,,,,,,,,4782.0,,,3448.13,397.05,,380.71,,
10121,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, COMPLEX",Outpatient,Line,8447.67,8447.67,5494.79,5494.79,5494.79,,,,,,,5494.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, COMPLEX",Outpatient,Package,8447.67,8447.67,5494.79,5494.79,5494.79,,,,,,,5494.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,Outpatient,Line,5194.03,5194.03,686.74,6050.0,2677.26,,,,,,6050.0,4162.04,,,,,,,,,,,,,,,,,,,709.12,,,,,,,,,,,,,,,,,1778.38,,,686.74,,
10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,Outpatient,Package,5194.03,5194.03,686.74,6050.0,2677.26,,,,,,6050.0,4162.04,,,,,,,,,,,,,,,,,,,709.12,,,,,,,,,,,,,,,,,1778.38,,,686.74,,
10160,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",Outpatient,Line,1251.06,1251.06,195.0,6017.59,1937.51,,,,4592.0,,4241.0,3128.25,,,,376.69,,,,,404.99,6017.59,,,195.0,,,,,,397.86,,,,,313.97,,,,,,,350.16,,3151.33,,,1597.04,,,421.71,,
10160,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",Outpatient,Package,1251.06,1251.06,195.0,6017.59,1937.51,,,,4592.0,,4241.0,3128.25,,,,376.69,,,,,404.99,6017.59,,,195.0,,,,,,397.86,,,,,313.97,,,,,,,350.16,,3151.33,,,1597.04,,,421.71,,
10180,COMPLEX DRAINAGE OF WOUND INFECTION AFTER SURGERY,Outpatient,Line,3233.67,3233.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,COMPLEX DRAINAGE OF WOUND INFECTION AFTER SURGERY,Outpatient,Package,11308.29,11308.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11010,REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN BROKEN AND/OR DISLOCATED BONE,Outpatient,Line,4815.33,4815.33,4101.0,4101.0,4101.0,,,,,,,4101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11010,REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN BROKEN AND/OR DISLOCATED BONE,Outpatient,Package,8752.83,8752.83,4101.0,4101.0,4101.0,,,,,,,4101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS",Outpatient,Line,3033.06,3033.06,791.79,4822.0,2728.46,,,4822.0,,,4311.0,,,,,,,,,,989.04,,,,,,,,,,791.79,,,,,,,,,,,,,,,,,,,,,,
11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS",Outpatient,Package,3033.06,3033.06,791.79,4822.0,2728.46,,,4822.0,,,4311.0,,,,,,,,,,989.04,,,,,,,,,,791.79,,,,,,,,,,,,,,,,,,,,,,
11043,"REMOVAL OF MUSCLE AND/OR TISSUE, 20.0 SQ CM OR LESS",Outpatient,Line,4109.66,4109.66,601.64,3649.08,1706.07,,,,,,,,,,,,,,,,,,,,3649.08,601.64,,,,,867.5,,,,,,,,,,,,,,,,,,,,,,
11043,"REMOVAL OF MUSCLE AND/OR TISSUE, 20.0 SQ CM OR LESS",Outpatient,Package,4109.66,4109.66,601.64,3649.08,1706.07,,,,,,,,,,,,,,,,,,,,3649.08,601.64,,,,,867.5,,,,,,,,,,,,,,,,,,,,,,
11044,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",Outpatient,Line,3062.42,3062.42,740.6,4782.0,2232.53,,,2411.0,,,,,,,,,,,,,,,,,,,,,,,1612.71,,740.6,,,,,1616.33,,,,,,,4782.0,,,,,,,,
11044,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",Outpatient,Package,3062.42,3062.42,740.6,4782.0,2232.53,,,2411.0,,,,,,,,,,,,,,,,,,,,,,,1612.71,,740.6,,,,,1616.33,,,,,,,4782.0,,,,,,,,
11045,"REMOVAL OF SKIN AND TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS",Outpatient,Line,1106.41,1106.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046,"REMOVAL OF MUSCLE AND/OR TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS",Outpatient,Line,2631.6,2631.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11047,"REMOVAL OF BONE, EACH ADDITIONAL 20.0 SQ CM OR LESS",Outpatient,Line,1224.0,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11102,"BIOPSY OF RELATED SKIN GROWTH, FIRST GROWTH",Outpatient,Line,539.84,539.84,2411.0,2411.0,2411.0,,,2411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11102,"BIOPSY OF RELATED SKIN GROWTH, FIRST GROWTH",Outpatient,Package,976.84,976.84,2411.0,2411.0,2411.0,,,2411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11103,"BIOPSY OF RELATED SKIN GROWTH, EACH ADDITIONAL GROWTH",Outpatient,Line,619.2,619.2,2411.0,2411.0,2411.0,,,2411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11104,"PUNCH BIOPSY, FIRST SKIN GROWTH",Outpatient,Line,1017.57,1017.57,54.63,2375.0,1115.52,,,2296.0,,,,,,,,,,,,,892.23,,,,,397.05,,,,,,,54.63,,,,,,,,,,,,2375.0,,,,,,678.22,,
11104,"PUNCH BIOPSY, FIRST SKIN GROWTH",Outpatient,Package,1454.57,1454.57,54.63,2375.0,1115.52,,,2296.0,,,,,,,,,,,,,892.23,,,,,397.05,,,,,,,54.63,,,,,,,,,,,,2375.0,,,,,,678.22,,
11105,"PUNCH BIOPSY, EACH ADDITIONAL SKIN GROWTH",Outpatient,Line,731.13,731.13,29.97,29.97,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,,,,,,,,,,,,,,,,,,,,
11106,"INCISION BIOPSY, FIRST SKIN GROWTH",Outpatient,Line,1581.27,1581.27,758.9,2066.25,1412.58,,,,,,2066.25,,,,,,,,,,758.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11106,"INCISION BIOPSY, FIRST SKIN GROWTH",Outpatient,Package,1581.27,1581.27,758.9,2066.25,1412.58,,,,,,2066.25,,,,,,,,,,758.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11107,"INCISION BIOPSY, EACH ADDITIONAL SKIN GROWTH",Outpatient,Line,535.5,535.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11200,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",Outpatient,Line,2441.47,2441.47,206.29,2839.0,1698.6,,,,,,2839.0,2050.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.29,,,,,,
11200,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",Outpatient,Package,2441.47,2441.47,206.29,2839.0,1698.6,,,,,,2839.0,2050.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.29,,,,,,
11310,"SHAVING OF SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS",Outpatient,Line,2924.0,2924.0,4311.0,4311.0,4311.0,,,,,,4311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11310,"SHAVING OF SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS",Outpatient,Package,3361.0,3361.0,4311.0,4311.0,4311.0,,,,,,4311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS",Outpatient,Line,3283.36,3283.36,336.03,4781.0,1821.54,,,,,,1616.63,,1025.25,,,4781.0,,,,,,,,,,,,,,,,,,,,818.34,,,,,,,,,2352.0,,,,,,336.03,,
11400,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS",Outpatient,Package,3283.36,3283.36,336.03,4781.0,1821.54,,,,,,1616.63,,1025.25,,,4781.0,,,,,,,,,,,,,,,,,,,,818.34,,,,,,,,,2352.0,,,,,,336.03,,
11401,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.6-1.0 CM",Outpatient,Line,3824.06,3824.06,794.5,4822.0,3368.75,,,4822.0,,,4311.0,,,,,,,,,,,,,,,,,,,,794.5,,,,,,,,,,,,,,3547.5,,,,,,,,
11401,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.6-1.0 CM",Outpatient,Package,3824.06,3824.06,794.5,4822.0,3368.75,,,4822.0,,,4311.0,,,,,,,,,,,,,,,,,,,,794.5,,,,,,,,,,,,,,3547.5,,,,,,,,
11402,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM",Outpatient,Line,2676.8,2676.8,708.54,4822.0,2556.89,,795.03,4822.0,,,1025.25,3208.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4782.0,,,,,,708.54,,
11402,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM",Outpatient,Package,2676.8,2676.8,708.54,4822.0,2556.89,,795.03,4822.0,,,1025.25,3208.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4782.0,,,,,,708.54,,
11403,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",Outpatient,Line,3224.88,3224.88,176.35,4782.0,2231.22,,,,,,4311.0,4101.0,,,,2096.92,,,,,785.03,,,,3756.0,,,,,,794.5,,176.35,,,,,,,,,,,,4782.0,,714.86,,,,794.5,,
11403,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",Outpatient,Package,3224.88,3224.88,176.35,4782.0,2231.22,,,,,,4311.0,4101.0,,,,2096.92,,,,,785.03,,,,3756.0,,,,,,794.5,,176.35,,,,,,,,,,,,4782.0,,714.86,,,,794.5,,
11404,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 3.1-4.0 CM",Outpatient,Line,3737.02,3737.02,1448.69,6050.0,3553.56,,,,,,6050.0,,,,,,,,,,,,,,,,,,,,1448.69,,,,,,,,,,,,,,3162.0,,,,,,,,
11404,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 3.1-4.0 CM",Outpatient,Package,3737.02,3737.02,1448.69,6050.0,3553.56,,,,,,6050.0,,,,,,,,,,,,,,,,,,,,1448.69,,,,,,,,,,,,,,3162.0,,,,,,,,
11406,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 4.0 CM",Outpatient,Line,3470.36,3470.36,1997.91,6017.59,3464.24,,,3010.0,,,2635.0,4584.5,,,,,,,,,,6017.59,,,5105.33,,,,,,2350.48,,,,,1997.91,,,,,,,,,3149.0,,,2328.31,,,,,
11406,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 4.0 CM",Outpatient,Package,3470.36,3470.36,1997.91,6017.59,3464.24,,,3010.0,,,2635.0,4584.5,,,,,,,,,,6017.59,,,5105.33,,,,,,2350.48,,,,,1997.91,,,,,,,,,3149.0,,,2328.31,,,,,
11420,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.5 CM OR LESS",Outpatient,Line,3796.87,3796.87,5488.75,5488.75,5488.75,,,,,,5488.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11420,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.5 CM OR LESS",Outpatient,Package,3796.87,3796.87,5488.75,5488.75,5488.75,,,,,,5488.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11421,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.6-1.0 CM",Outpatient,Line,1945.47,1945.47,794.5,4704.0,2749.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704.0,,,,,,794.5,,
11421,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.6-1.0 CM",Outpatient,Package,1945.47,1945.47,794.5,4704.0,2749.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704.0,,,,,,794.5,,
11422,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 1.1-2.0 CM",Outpatient,Line,3070.2,3070.2,160.06,5701.88,3298.31,,,4592.0,4822.0,,5701.88,3025.0,,,,2620.71,,,,,,,,,5270.0,,,,,,,,160.06,,,,,,,,,,,,2352.0,,,2990.75,,,1448.69,,
11422,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 1.1-2.0 CM",Outpatient,Package,3070.2,3070.2,160.06,5701.88,3298.31,,,4592.0,4822.0,,5701.88,3025.0,,,,2620.71,,,,,,,,,5270.0,,,,,,,,160.06,,,,,,,,,,,,2352.0,,,2990.75,,,1448.69,,
11423,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 2.1-3.0 CM",Outpatient,Line,3561.13,3561.13,184.49,5755.0,2944.76,,,,,,5755.0,5199.0,,,,2668.88,,,,,,4514.56,,,,,,,,,1448.69,,184.49,,,,,,,,,,,,2352.0,,,,,,1435.46,,
11423,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 2.1-3.0 CM",Outpatient,Package,3561.13,3561.13,184.49,5755.0,2944.76,,,,,,5755.0,5199.0,,,,2668.88,,,,,,4514.56,,,,,,,,,1448.69,,184.49,,,,,,,,,,,,2352.0,,,,,,1435.46,,
11424,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 3.1-4.0 CM",Outpatient,Line,4245.11,4245.11,1395.61,4704.0,2516.1,,,,,,,,,,,,,,,,1395.61,,,,,,,,,,,,,,,,,,,,,,,,4704.0,,,,,,1448.69,,
11424,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 3.1-4.0 CM",Outpatient,Package,4694.51,4694.51,1395.61,4704.0,2516.1,,,,,,,,,,,,,,,,1395.61,,,,,,,,,,,,,,,,,,,,,,,,4704.0,,,,,,1448.69,,
11426,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",Outpatient,Line,4130.24,4130.24,2243.0,7005.25,4310.86,,,,3861.7,,4133.48,7005.25,,,,,,,,,2243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11426,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",Outpatient,Package,4130.24,4130.24,2243.0,7005.25,4310.86,,,,3861.7,,4133.48,7005.25,,,,,,,,,2243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11440,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS",Outpatient,Line,2405.45,2405.45,357.43,4822.0,1590.01,,,,4822.0,,3433.83,,,,,,,,,,,,,,,,,,,,678.8,,,,,,,,,,,,794.5,357.43,,,476.57,,,,566.95,,
11440,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS",Outpatient,Package,2405.45,2405.45,357.43,4822.0,1590.01,,,,4822.0,,3433.83,,,,,,,,,,,,,,,,,,,,678.8,,,,,,,,,,,,794.5,357.43,,,476.57,,,,566.95,,
11441,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.6-1.0 CM",Outpatient,Line,2714.88,2714.88,536.15,4311.0,2094.38,,,,,,2882.92,4311.0,,,,,,,,,647.44,,,,,,,,,,,,,,,,,,,,,,,536.15,,,,,,,,,
11441,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.6-1.0 CM",Outpatient,Package,2714.88,2714.88,536.15,4311.0,2094.38,,,,,,2882.92,4311.0,,,,,,,,,647.44,,,,,,,,,,,,,,,,,,,,,,,536.15,,,,,,,,,
11442,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 1.1-2.0 CM",Outpatient,Line,3375.12,3375.12,769.64,3285.69,1726.07,,769.64,,,,3285.69,2155.5,,,,2563.31,,,,,,,,,,,,,,,794.5,,,,,,,,,,,,,,,,,,,,787.77,,
